;LISTA DE PRECIOS (JUNIO - 26);;;
YT38811;YATO;"MALETA CON 150 HERRAMIENTAS. Dados 1/2 "": 20; 21; 22; 24 mm, L = 38 mm, 27; 30; 32 mm, L = 42 mm 
Dados ½"" 17; 19; 21; 23 mm Dados 1/2 ""de largo: 10; 12; 13; 14; 17; 19 mm, L = 76 mm 
Dados 1/2 ""pulgada: 15/16"" ""; 1"" ""; 1-1 / 16"" ""; 1-1 / 4"" "" 
Dados 3/8"": 9, 10; 11; 12; 13; 14; 15; 16 mm, L = 28 mm; 17; 18; 19 mm, L = 30 mm Dados 
largos 3/8 "": 10; 11; 12; 13; 14; 15 mm, L = 63 mm 
Dados 3/8"" pulgada: 3/8 """"; 7/16 ''; 1,2 """" 9/16 ''; 8,5 """" 11/16 ''; 3/4 ''; 13/16 ''; 7/8 "" 
casquillo Torx 3/8"": E8; E10; E11; E12; E14; E16; E18; E Dados 1/4 "": 4; 5; 6; 7; 8; 9; 10; 11; 12; 13 mm,
Dados de 1/4 ""pulgadas: 5/32"" ""; 3/16"" ""; 7/32"" ""; 1/4"" ""; 9/32"" ""; 5/16"" ""; 11/32"" ""; 3 / 8 """"; 7/16 """"; 1/2 """"; Chicharra 1/2 "": 72T, 255mm Chicharra 3/8"": 72T, 200mm 
Chicharra 1/4 "": 72T, 155mm Broca para destornillador 1 / 4 "", extensión 150 mm 1/2"": 127 mm; 254 mm Extensiones 3/8 "": 76 mm, 152.4 mm Extensiones 1/4"": 50.8 mm Tapones de vela 3/8 "": 16, 21 mm 
Gimbal: 1/2""; Adaptador de brocas de 3/8 """" y 1/4 """" para brocas torx 1/4 "": T10; T15; T20; T25; T27; T30; brocas T40; destornillador Torx T40 en 3/8"" cabeza: T20; T30; T40; T45; T50; T55;
Brocas para destornillador de destornillador Pozidriv en casquillo de 3/8 "" : Pz1; Pz2, Pz3 Brocas de destornillador planas en zócalo de 3/8"": 4, 5.5; Brocas de destornillador hexagonal de 6,5 mm en casquillo de 3/8 "": 3; 4; 5; 6; 8; 10 mm Llaves de anillo plano: 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19 mm Llaves de anillo con Chicharra: 8x10; 12x13; 17x19 mm Llaves Allen: 1.5; 2; 2.5; 3; 4; 5; 6; 7; 8; 10 mm"; $274.990 ;
YT38841;YATO;"MALETA CON 215 HERRAMIENTAS. Material: Acero al vanadio cromado (CrV).
12 x Llave: 8/10/11/12/13/14/15/16/17/18/19/22 mm; 7 x Llave Allen: 1,27/1,5/2/2,5/3/4/5 mm
1/2"": 15 x dados: 10/11/12/13/14/15/17/19/20/21/22/24 mm (L = 38 mm); 27/30/32 mm (L = 42 mm) 5 x Llave profunda: 16/17/18/19/22 mm (L = 76 mm); 3 x Llave de estrella: E20/E22/E24; 2 x Barra de extensión: 127/254 mm; 1 x Articulación universal; 2 x Conector de bujía: 16/21 mm; 1 x Barra deslizante: 255 mm; 1 x Llave de chicharra conectora: 72 dientes, 255 mm; 1 x Adaptador de puntas: 1/2""x 5/16”
3/8"": 10 x dados: 10/11/12/13/14/15/16 mm (L = 28 mm); 17/18/19 mm (L = 30 mm); 6 x Llave profunda: 10/11/12/13/14/15 mm (L = 63 mm); 6 x Conector de estrella: E10/E11/E12/E14/E16/E18; 1 x Barra de extensión: 125 mm; 1 x Articulación universal; 1 x Conector de bujía: 18 mm; 1 x Llave de chicharra conectora: 72 dientes, 200 mm; 1 x Adaptador de puntas: 3/8""x 5/16”; 2 x Conector de punta torx: T55/T60 (L = 50 mm)
1/4"": 13 x dados: 4/4,5/5/5,5/6/7/8/9/10/11/12/13/14 mm (L = 25 mm). 7 x Conector profundo: 4/5/6/7/8/9/10 mm (L = 50 mm); 5 x Conector de estrella: E4/E5/E6/E7/E8; 2 x Barra de extensión: 50,8/101,6 mm; 1 x Articulación universal; 1 x Barra deslizante: 152,4 mm; 1 x Llave de chicharra conectora: 72 dientes, 155 mm; 1 x Rotámetro de mano: 150 mm; 1 x Asa giratoria con adaptador de puntas: 200 mm; 1 x Adaptador de puntas: 1/4""x 1/4”; 3 x Conector de punta ranurada: 4/5,5/6,5 mm (L= 25 mm); 2 x Cruz Philips: PH1/PH2 (L = 25 mm); 2 x Cruz Pozidriv: PZ1/PZ2 (L = 25 mm); 5 x Torx: T8/T10/T15/T20/T25 (L = 25 mm); 10 x Torx inalterable: T8/2xT10/2xT15/2xT20/2xT25/T40 (L = 25 mm); 4 x Conector de punta hexagonal: 3/4/5/6 mm (L = 25 mm); 4 x Conector de punta hexagonal inalterable: 3/4/5/6 mm (L = 25 mm); 3 x Ranurada: M5/M6/M8 (L = 25 mm); 2 x Cuadrada: S1/S2 (L = 25 mm); 3 x Ala triple: 1/2/3 mm (L = 25 mm); 3 x Ala cuádruple: 6/8/10 mm (L = 25 mm); 3 x Llave: 4/6/8 mm (L = 25 mm); 3 x Conector de punta ranurada: 6/6,5/8 mm (L = 37 mm); 2 x Philips: PH3/PH4 mm (L = 37 mm); 2 x Pozidriv: PZ3/PZ4 mm (L = 37 mm); 8 x Conector de punta torx: T25/T27/T30/T35/2xT40/T45/T50 (L = 37 mm); 6 x Conector de punta torx: T27/T30/T35/T40/T45/T50 (L = 37 mm); 5 x Conector de punta hexagonal: 5,5/6/6,5/7/8 mm (L = 37 mm); 4 x Ranurada: M5/M6/M8/M10 mm (L = 37 mm)
5/16"": 3 x Ranurada: 6/6,5/8 mm (L= 30 mm); 2 x Cruz Philips: PH3/PH4 (L= 30 mm); 2 x Cruz Pozidriv: PZ3/PZ4 (L= 30 mm); 8 x Torx: T25/T27/T30/T35/2xT40/T45/T50 (L = 30 mm); 6 x Torx inalterable: T27/T30/T35/T40/T45/T50 (L = 30 mm); 5 x Hexagonal: 5,5/6/6,5/7/8 mm (L=30 mm); 4 x Ranurada: M5/M6/M8/M10 (L = 30 mm)"; $269.990 ;
YT38941;YATO;MALETA CON 225 HERRAMIENTAS. Contenido:; $299.990 ;
YT58540;VOREL;Carro Vorel (Grupo Yato) con 6 bandejas, 177 piezas para diferentes tipos de trabajo. Dimensiones: 770x458x901mm. Material: chapa de acero. Peso: 78kg; $839.990 ;
F1RP6+HT162;FIXMAN;CARRO PROFESIONAL CON 6 BANDEJAS Y 162 HERRAMIENTAS; $890.000 ;
YT55300;YATO;Carro YATO con 6 bandejas, 177 piezas para diferentes tipos de trabajo. Dimensiones: 975 X 765 X 465mm. Material: chapa de acero.; $1.144.900 ;
44950 806;TRAMONTINA PRO;CARRO PROFESIONAL CON 6 BANDEJAS Y 138 HERRAMIENTAS; $1.090.000 ;
YT55305;YATO;"CARRO CON 69 HERRAMIENTAS DE ALTA GAMA AISLADAS Y CERTIFICADAS VDE-1000V. Rendimiento de aislamiento de 1000 V según norma: EN 60900/IEC 60900: 2004. Incluye una gama completa de herramientas con aislamiento VDE, aprobando la certificación doble europea VDE y GS, en línea con los estándares EN60900, voltaje soportado de 1000 V.
Herramientas con proceso de moldeo por inyección de dos colores rojo y amarillo, hermoso, resistente al desgaste y llamativo.
Doble revestimiento de perfilado de EVA de alta densidad de color, fácil de almacenar y administrar, que cumple con los requisitos de 5S
Aplicable al mantenimiento de vehículos recargables, vehículos híbridos, vehículos enchufables y ferrocarriles electrificados.
"; $1.990.000 ;
HKTS14103;INGCO;"JUEDO DE DADOS DE 1/4"" 10 PZS

10 Dados SH 1/4"": 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 mm"; $10.990 ;
HKTS14122;INGCO;"CHICHARRA, EXTENSION Y DADOS INGCO 1/4"" JUEGO DE 12 PIEZAS. DADOS DE 5, 6, 7, 8, 9, 10, 11, 12, 13, 14 MM."; $21.900 ;
109-23-4;IRIMO;"Juego de dados y puntas de 1/4"", 23 piezas.
Dados hexagonales 6,7,8,10,11 y 13mm.
Acabado cromado brillante. DIN3120 y DIN3124. Chicharra de 1/4"" conforme a DIN3122. Reversible. 60 dientes. 90 mm de longitud. Mango de chicharra bi-material.
Caja de plástico ABS. Incluye clip para cinturón."; $24.990 ;
YT2780;YATO;Juedo de destornillador flexible con dado y puntas, 31 pzas.; $15.990 ;
YT2806;YATO;"Juego destornillador de 42 piezas. Fabricado en acero cromo-vanadio CrV50BV30 de alta calidad. Las puntas de destornillador funcionales TORX, HEX, POZIDRIV, transversales y planas están hechas de acero inoxidable AISI S2. Un práctico destornillador con la posibilidad de cambiar la dirección de trabajo. El mango ergonómico y de goma hecho de plástico duradero, proporciona un agarre fuerte y contrarresta el deslizamiento de sus manos. Diseñado para servicio, para aflojar y apretar tornillos en lugares difíciles de alcanzar. Contenido: Destornillador con chicharra y junta, extensión 1/4 ""L = 100 mm, adaptador de 
broca , zócalos de 1/4"": 5, 6, 7, 8, 9, 10, 11, 12, 13 mm, bits: plana: 3, 4, 5, 6, 7 mm, Ph: Ph1, Ph2, Ph3, 
Pz: Pz1, Pz2, Pz3, Hex (hexagonal): 2, 2.5, 3, 4, 5, 6 mm, Torx: T10, T15, T20 , T25, T27, T30, T40, caja de plástico."; $62.990 ;
YT14432;YATO;"JUEGO DE DADOS CORTOS DE 1/4"": CHICHARRA 72 DIENTES, EXTENSION Y 10 DADOS DE 1/4"" JUEGO DE 12 PIEZAS. DADOS CORTOS DE 4, 5, 6, 7, 8, 9, 10, 11, 12, 13 MM."; $17.990 ;
YT14421;YATO;"Juego de dados cortos y largos de 1/4"", 23 piezas. Dados cortos de 1/4 "": 4, 5, 6, 7, 8, 9, 10, 12, 13 mm
Dados largos de 1/4 "": 4, 5, 6, 7, 8, 9, 10, 12, 13mm
Extensiones 1/4 "": 50.8mm, 152.4mm
Articulación cardán
Chicharra 1/4 ""127mm 72 dientes
Soporte de dados de 1/4 "". Caja metálica."; $41.490 ;
YT14451;YATO;"Juego de dados cortos y largos de 1/4"", 23 piezas. 
Dados de 1/4 "": 4; 5; 6; 7; 8; 9; 10; 12; 13 mm, L = 25 mm
Dados de 1/4"": 4; 5; 6; 7; 8; 9; 10; 12; 13 mm, L = 50 mm
Extensiones de 1/4 "": 50 mm; 150 mm
Chicharra de 1/4"": 72T, L = 140 mm
Mango de destornillador de 1/4 "", L = 140 mm
Junta cardán de 1/4""
Maleta"; $39.990 ;
YT14481;YATO;"Juego de dados 1/4” 42 piezas. Material: Metal (CrV6140, CrV6150, CrV50BV30)
Dimensiones: 37,5 x 29 x 20 cm (longitud x anchura x altura)
Tipo de llave de dado: AS-Drive
Longitud: 155 cm
Incluye 42 piezas1 x Adaptador
3 x Cabezal destornillador Philips: PH0/Ph1/Ph2
3 x Destornillador de puntas pozidriv de cruz: PZ0/PZ1/PZ2
3 x Destornillador de punta plana: 3/4/5 mm
3 x Destornillador hexagonal: 6/7/8 mm
3 x Llaves Hex: 1,5/2/2,5 mm
1/4"":
19 x dados: 4/4,5/5/5,5/6/7/8/9/10/11/12/13/14 mm, L = 25 mm, 8/9/10/11/12/13 mm, L = 50 mm
2 x Extensión: 50/100 mm 1 x Extensión flexible: 150 mm 1 x Llave de chicharra conectora: 140 m; 72T 1 x Destornillador de mano: 140 mm 1 x Barra deslizante en T: 150 mm 1 x Articulación universal"; $40.990 ;
YT14471;YATO;"Juego de dados 1/4” 38 piezas. Material: Metal (CrV6140, CrV50BV30)
Dimensiones: 62 x 29 x 20 cm (longitud x anchura x altura)
Tipo de llave de dado: AS-Drive
1 x Extensión: 50,8/101,6 mm
1 x Barra deslizante en T: 152,4 mm
14 x llave de dado (25 mm): 3,5/4/4,5/5/5,5/6/7/8/9/10/11/12/13/14 mm
5 x Punta Allen: 3/4/5/6/8 mm
7 x Punta torx: T8/T10/T15/T20/T25/T30/T40; AISI S2/CrV50BV30
2 x Cabeza de punta Philips: PH1/PH2
2 x Pozidriv cruz: PZ1/PZ2
3 x Punta plana: 4/5,5/6,5 mm
1/4"":
1 x Llave de chicharra conectora: 72 dientes
1 x Destornillador: 150 mm
1 x Articulación universal"; $45.990 ;
SBSL25;BAHCO;"Juego de dados 1/4"" y puntas 25 piezas 4 a 13 mm

Dados hexagonales: 12 piezas, en medidas de 4 a 13 mm.
Carraca: 1 pieza, de 1/4"" con liberación rápida, 60 dientes y un ángulo de acción de 6°.
Puntas de destornillador: 2 piezas, en medidas de PH2.
Puntas hexagonales: 2 piezas, en medidas de 5 y 6 mm.
Puntas TORX®: 6 piezas, en medidas de T10, 15, 20, 25, 30 y 40.
Portapuntas: 1 pieza, de 1/4"" con muelle de bloqueo.
Alargadera angular cardan: 1 pieza, de 100 mm.
Acabado mate.
Aleación de acero de alto rendimiento
Los fijadores sufren menos desgaste y daños gracias a los dados con perfil Dynamic-Drive™.
Botón de liberación rápida de los dados de la carraca.
Maletín: Maletín de polietileno de alta densidad (PEAD), de 35 x 165 x 85 mm (SPAR-CASE-A6).
Normas: ISO 1174 y DIN 3120"; $44.990 ;
99-081;CROSSMAN;"Juego de dados 1/4” en pulgadas, 16 piezas. 6 Accesorios: Chicharra 6"", Extensión 3” y 6"", Mango corredizo 4.1/2"", Mango articulado 6"", Articulación universal 1.5/16. 10 Dados: 5/32"" 3/16"" 7/32"" 1/4"" 9/32"" 5/16"" 11/32"" - 3/8"" - 7/16"" - 1/2"" Caja plástica"; $44.900 ;
YT14431;YATO;"Set dados hex std. 1/4"" largos, display 8pzas. Medidas: 5.5,6,7,8,9,10,12,13mm."; $18.490 ;
YT0520;YATO;"Juego de dados torx hembra (estrella) de 1/4"" (E5, E6, E7 y E8) y de 3/8"" (E10, E12, E14 y E16). Adaptador de 1/4"" M a 3/8""F. "; $9.990 ;
87-045;CROSSMAN;"JUEGOS DE DADOS ALLEN (PTA.HEXAG.) CUADRANTE DE 1/4"" JUEGO DE 8 PZS
INCLUYE: 1 Barrote corredizo 4-1/2"" y 7 Dados Allen (Pta Hex): 3 - 4 - 5 - 5,5 - 6 - 7 - 8 mm"; $17.990 ;
YT04401;YATO;"Juego de dados allen de 1/4"" y 3/8"", 9 piezas. Dados allen de 1/4"" L35mm: H2, H3, H4, H5 y H6 mm.  Dados allen de 3/8"" L50mm: H7, H8, H10 y H12 mm."; $9.990 ;
YT04331;YATO;"Juego de dados torx de 1/4"" y 3/8"", 12 piezas. Dados torx de 1/4"" L35mm: T8, T10, T15, T20, T25, T27, T30.  Dados torx de 3/8"" L50mm: T40, T45, T50, T55."; $12.990 ;
YT04332;YATO;"Juego de dados torx de seguridad de 1/4"" y 3/8"", 12 piezas. Dados torx de seguridad de 1/4"" L35mm: T8, T10, T15, T20, T25, T27, T30.  Dados torx de seguridad de 3/8"" L50mm: T40, T45, T50, T55."; $12.990 ;
YT0433;YATO;"Juego de dados Imbus (Spline) de 1/4"" y 3/8"", 5 piezas. Dados Imbus de 1/4"" L35mm: M5 y M6.  Dados Imbus de 3/8"" L50mm: M8, M10 y M12."; $9.990 ;
YT04360;YATO;"Juego de dados Imbus (Spline) de 1/4"" y 3/8"", 5 piezas. Dados Imbus de 1/4"" L35mm: M5 y M6.  Dados Imbus de 3/8"" L50mm: M8, M10 y M12."; $9.990 ;
YT0461;YATO;"Juego de 7 dados estrella (cinco puntas) perforados de 1/4""
DADOS CUADRANTE 1/4 TS-10, TS-15, TS-20, TS-25, TS-27, TS-30, TS-40
Llaves diseñadas especialmente para el mantenimiento de bombas y caudalímetros en los nuevos modelos TOYOTA y VW"; $9.990 ;
YT3855;YATO;"Juego de dados hexagonales largos de 3/8"", 9 piezas. 8,10,1112,13,14,16,17,19mm. Largo 63 mm"; $24.990 ;
B3020M;FIXMAN;"Juego de dados hexagonales de 3/8"", 20 piezas. 8 a 22mm"; $39.990 ;
YT38561;YATO;"Juego de dados hexagonales de 3/8"", 22 piezas.
Tipo: AS-Drive
Tamaño: 3/8"" 6-16, 17-22mm
Longitud: 200mm
Material: CrV6140, CrV50BV30
Cantidad: 22
Accesorios básicos:
11 DADO 3/8"" L=28mm: 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16mm
6 DADO 3/8"" L=30mm: 17, 18, 19, 20, 21, 22mm
2 adaptadores 3/8"": 75mm, 150mm
Chicharra 3/8"" 200mm 72 Dientes
Barrote Corredizo 3/8"" 200mm
Cardan 3/8""
Maletín"; $47.990 ;
S330;BAHCO;"Juegos de dados 3/8” hexagonales, Juego dados 34 piezas S330
Serie Corta. Incluye accesorios en 1/4”
Dimensiones: 340x260x45 mm. 12 pzs dados hexagonales 3/8”:
10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22 mm
1 pz chicharra 3/8” con botón de extracción rápida,
60 dientes/ Ángulo de acción de 6º
2 pzs Alargaderas de 3/8”: 75 mm/3” y 150 mm/6”
1 pz Articulación universal 3/8”
1 pz Portapuntas 3/8” x 1/4”
2 pzs dados hexagonales para bujías:
16 mm (5/8”), 21 mm (13/16”)
1 pz Destornillador portadados de 1/4”
con mango bi-componente
1 pz Portapuntas 1/4” x 1/4”
3 pzs Puntas rectas 1/4”: 4, 5.5, 7 mm
4 pzs Puntas Phillips 1/4”: PH 1, 2, 3, 4
6 pzs Puntas hexagonales 1/4”: 3, 4, 5, 6, 7, 8 mm"; $64.990 ;
99-032;CROSSMAN;" JUEGO DE DADOS POLIGONALES DE 3/8"" DE 32 PIEZAS
16 dados cortos: 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24 mm.
9 dados largos : 8, 10, 11, 12, 13, 14, 15, 17, 19 mm.
2 Pcs. 16mm ( 5/8"" ) & 21mm ( 13/16"" ) dados para bujías.
1 Pc. 8"" chicharra.
2 Pcs. 3"" & 10"" Extensiones.
1 Pc. 1/2""F x 3/8""M 3-Function Adapter.
1 Pc. 2"" cardánica."; $109.000 ;
99-089;CROSSMAN;"JUEGO DE DADOS 3/8"" 32 PIEZAS EN PULGADAS

7 Accesorios: Adaptador 1/2H x 3/8M; Articulación universal 2”; Chicharra 8” ; Extensión 3” y 10”; Dado para bujia 16mm (5/8) y 21mm (13/16)
16 Dados cortos en pulgadas: 1/4"" - 5/16"" - 11/32"" - 3/8"" - 7/16"" - 15/32"" - 1/2"" - 9/16""- 19/32"" - 5/8"" - 11/16"" - 3/4"" - 25/32"" - 13/16"" - 7/8"" - 15/16""
9 Dados largos en pulgadas: 1/4""- 5/16""- 3/8"" - 7/16""- 1/2"" - 9/16"" - 5/8"" - 11/16"" - 3/4"""; $114.990 ;
YT3857;YATO;"Juego de dados 3/8"" de 58 piezas. Alta calidad acero de herramientas CrV 50BV30
Contiene:
Dados cortos 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24mm.
Dados largos 8, 10, 11, 12, 13, 14, 15, 17, 19mm.
Extensiones 3? y  10?
Reductor 1/2? (H) x 3/8? (M)
Junta Cardánica
Dados Bujía 16, 21mm.
Chicharra 3/8?, 72 dientes.
Dados Puntas Torx 3/8? T10, T15, T20, T25, T30, T40, T45, T50, T55
Dados Puntas Phillips 3/8? PH1, PH2, PH3
Dados Puntas Pozidrive 3/8? PZ1, PZ2
Dados Puntas Planas 3/8? 5.5, 6.5, 8mm
Dados Puntas Hexagonal 3/8? 3, 4, 5, 6, 7, 8, 10mm"; $119.990 ;
YT0521;YATO;"Jgo. Dados Torx Hembra (Estrella) std. caja metálica 1/2""  9Pzas. (E10, E11, E12, E14, E16, E18, E20, E22, E24)"; $28.490 ;
YT7751;YATO;"Juego de dados Torx de 1/4"" y 1/2"", 18 piezas. Dados torx de 1/4"" L37mm: T10, T15, T20, T25, T30, T40.  Dados torx de 1/2"" L50mm: T30, T40, T45, T50, T55, T60 y L100mm: T30, T40, T45, T50, T55, T60."; $49.990 ;
YT7752;YATO;"Juego de dados Allen de 1/4"" y 1/2"", 18 piezas. Dados Allen de 1/4"" L37mm: 3, 4, 5, 6, 7, 8 mm.  Dados Allen de 1/2"" L50mm: 5, 6, 7, 8, 10, 12 mm y L100mm: 5, 6, 7, 8, 10, 12 mm."; $49.990 ;
YT7750;YATO;"Juego de dados punta y paleta de 1/4"" y juego de dados imbus M5-M14 (estriados o spline) 1/2"", 18 piezas. "; $59.990 ;
4091S;FORCE;"Juego dados Allen (Hexagonal) de 8 Piezas cuadrante de 1/2? en pulgadas.
Material de construcción de cromo-vanadio

Medidas:  5/32; 3/16; 1/4; 5/16; 3/8; 1/2? largo de 55 mm.
9/16; 5/8""  largo de 65 mm."; $44.900 ;
129-9H-4;IRIMO;JUEGO 9 DADOS CON PUNTA 1/2” ALLEN. 4, 5, 6, 7, 8, 10,12,14, 17 mm. Dado acabado cromado brillante. Puntas fosfatadas. DIN 3120 / ISO 1174. Caja fabricada en polietileno de alta densidad y resistente.; $29.990 ;
129-9T-4;IRIMO;JUEGO 9 DADOS CON PUNTA 1/2” TORX. T20, T25, T27, T30, T40, T42, T50, T55, T60. Dado acabado cromado brillante. Puntas fosfatadas. DIN 3120 / ISO 1174. Caja fabricada en polietileno de alta densidad y resistente.; $29.990 ;
YT77540;YATO;"JUEGO DE 30 DADOS ALLEN CUADRANTE DE 1/2"" 5 A 19MM
Largos de 55, 100, 140 y 200mm
"; $84.990 ;
92219T;PRETOR;"JUEGO DE 19 DADOS CUADRANTE DE 1/2""TORX MACHO T20 A T70 Y TORX HEMBRA E10 A E24
Torx macho T20 – T25 -T27 -T30- T40 -T45 -T50- T55 -T60 -T70
Torx hembra (estrella) E10- E11 -E12 -E14 -E16- E18- E20- E22-  E24"; $65.990 ;
YT7753;YATO;"Set dados imbus (estriados o spline) 1/2”, 12 piezas.
 largo 50 mm: M12 - M17; largo 70 mm: M6; largo 100 mm: M7 - M8; largo 120 mm: M8 - M10; largo 140 mm: M6 - M10 - M12; largo 180 mm: M5; largo 250 mm: M6."; $59.990 ;
HKTS12103;INGCO;"JUEDO DE DADOS DE 1/2"" 10 PZS

10 Dados SH 1/2"" : 10, 11, 12, 13, 14, 15, 17, 19, 21, 24 mm"; $19.990 ;
YT38821;YATO;"SET DE 12 PIEZAS, LLAVE CHICHARRA DE 1/2” + 10 DADOS
Y 1 EXTENSIÓN. • Juego de dados 12 piezas. 10, 12, 13, 14, 16, 17, 19, 21, 22, 24 mm
• Dados hexagonales, mm
• Chicharra con 72 dientes"; $44.990 ;
YT38681;YATO;"SET DE 19 PIEZAS, LLAVE CHICHARRA DE 1/2” + 18 DADOS
•  8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 27, 30, 32 mm
• Dados hexagonales, mm
• Chicharra con 72 dientes"; $69.990 ;
HKTS12122;INGCO;"CHICHARRA, EXTENSION Y DADOS INGCO 1/2"" JUEGO DE 12 PIEZAS. DADOS DE 10, 11, 12, 13, 14, 15, 17, 19, 21, 24 MM."; $39.500 ;
YT38861;YATO;"Juego de dados hexagonales largos de 1/2"", 10 piezas. 10,12,13,14,15,17,19,21,22,24mm. Largo 76 mm"; $32.490 ;
YT5539;YATO;"Juego de dados hexagonales largos de 1/2"", 14 piezas. 8,9,10,11,12,13,14,15,16,17,18,19,20,21mm. Largo 76 mm"; $46.990 ;
S05HD4213S;JWAY;"Juego de dados hexagonales largos de 1/2"" en pulgadas, 13 piezas. 1/2"" Medidas: 7/16"", 1/2"", 9/16"", 5/8"", 11/16"", 3/4"", 13/16"", 7/8"", 15/16"", 1"", 1-1/16"", 1-1/18"", 1-1/4""."; $99.490 ;
YT3865;YATO;"Juego de dados de 1/4"" y 1/2"" con chicharra abierta. 21 piezas. En milimetros y pulgadas. Juego de dados Pasantes GO-THROUGH.
Dados métricos de 1/2 '': 10; 11; 12; 13; 14; 15; 16; 17; 18; 19 mm
Dados de 1/2 '' en pulgadas: 3/4'' ''; 11/16'' ''; 5/8'' ''; 9/16'' ''; 1/2'' ''; 7/16'' ''; 3/8'' ''
Chicharra de 1/2 '', L = 178 mm
Adaptador: 1/4 ''; 1/2''
Dado largo: 17 mm, L = 75 mm
Maletín
Juego de herramientas de calidad profesional de Yato, recomendado para servicios y talleres. Los dados tienen paredes ultrafinas y una construcción que permite desenroscar las tuercas en pasadores muy largos. Los adaptadores para la chicharra pasante permiten el uso de la chicharra con dados estándar de 1/2 '' y 1/4 ''. Están fabricados en acero para herramientas CrV 50BV30. La chicharra es de acero CrV6140, lo que garantiza su durabilidad y eficacia. Cuenta con un montaje tipo SUPER LOCK y un mecanismo de 72 dientes."; $114.990 ;
YT12621;YATO;"Juegos de dados hexagonales std. 1/2"", 12 pzas.. Caja metálica; Incluye chicharra 72 dientes y extension mediana de 125mm. Dados std.: 10,11,12,13,14,15,17,19,21,24mm. "; $46.990 ;
YT12651;YATO;"Jgo. Dados hex std. 1/2"", 23pzas.  Caja metálica. Incluye: chicharra 72 dientes, extension larga, corta, barrote de fuerza, junta cardánica. Dados std.: 10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,27,30,32mm. "; $109.990 ;
YT3870;YATO;"Jgo. Dados hex std. 1/2"", 18pzas. Chicharra 72 dientes, extension larga, corta, barrote de fuerza, dados de bujía 16 y 21mm. Dados std.: 11,13,14,15,17,19,21,22,23,24,27,30,32mm. "; $104.990 ;
YT12671;YATO;"Jgo. Dados hex std. 1/2"", 25pzas. Caja metálica. 18 dados std. cuadrante de 1/2"" medidas 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 30 y 32 mm.
2 extensiones de 2"" y 5"",
2 dados para bujías de 16 y 21 mm.,
1 barrote corredizo de 10"",
1 chicharra de 72 dientes,
1 barrote de fuerza en ""L"""; $94.990 ;
YT3875;YATO;"Jgo. Dados hex std. 1/2"", 27pzas.  Chicharra 72 dientes, extension larga, corta, barrote de fuerza,dado cardánico, dado bujía 16 y 21mm. Dados std.: 8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,27,30,32mm. "; $139.990 ;
99-071;CROSSMAN;"Juego de dados 1/2"" hexagonal en milimetros 25 piezas. 20 dados: 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 30, 32 mm;
1 barrote deslizante tipo T
1 chicharra de liberación rápida
2 extensiones de 5 y 10""
1 junta cardánica de 2-7/8"""; $104.900 ;
99-031;CROSSMAN;"Juego Dados Poligonales 1/2 de 25 piezas. CONTENIDO:
* 1 chicharra con toma de 1/2"",
* 2 extensiones de 5"" y 10""
* 1 barrote corredizo 10""
* 1 junta cardánica medida universal de 2 7/8""
* 20 dados poligonales medidas 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 27, 30, 32"; $104.900 ;
P19SSS;PRETOR;"JUEGO DE 19 DADOS MULTIFUNCIONALES CUADRANTE DE 1/2""
Tamaños: 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 27, 30, 32 mm
Material: Crv Steel

USOS

Pernos de 6 puntas en Milímetros.
Pernos de 6 puntas en Pulgadas.
Pernos de 12 puntas en Milímetros.
Pernos de 12 puntas en Pulgadas.
Pernos de Torx.
Pernos Tongo o cuadrante.
Pernos Spline."; $69.990 ;
87-001;CROSSMAN;"Juego de 32 piezas de dados 1/2 en pulgadas. 18 pzas: Dados hexagonales de 5/16?, 3/8?, 7/16?, 15/32?, 1/2?, 9/16?, 19/32?, 5/8?, 11/16?, 2/3?, 25/32?, 13/16? 7/8?, 15/16?, 1?, 1 1/16?, 1 1/8?, 1 1/4?; 7 Pzas.: Dados en pulgadas poligonale de 3/8?, 7/16?, 1/2?, 9/16?, 5/8?, 11/16?, 3/4?. 2 Pzas: dado para bujias 16mm y 21mm; Chicharra 10?; Extension de 5? y 10 ; Adaptador 3 funciones 1/2?M x 1/2?H; union universal 2-7/8"; $104.900 ;
